deli_num,hyp_num,url_len,nor_tld_token,sus_word_token,ip_in_hostname
0,0,18,0,0,1
0,0,19,0,1,1
0,0,16,0,1,1
0,0,10,0,0,1
0,0,13,0,1,1
0,0,14,1,0,1
0,0,13,1,1,1
0,0,14,0,1,1
0,0,17,0,1,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,11,0,0,1
0,0,16,0,0,1
0,0,11,1,0,1
0,0,12,0,0,1
0,0,16,0,1,1
0,0,11,0,0,1
0,0,18,0,1,1
0,0,13,0,0,1
0,0,15,0,0,1
0,0,11,0,0,1
0,0,14,1,1,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,23,0,1,1
0,0,12,0,0,1
0,0,8,1,0,1
0,0,14,0,0,1
0,0,14,0,0,1
0,0,10,0,0,1
0,0,8,0,0,1
1,1,16,0,0,1
0,0,8,0,0,1
0,0,15,0,0,1
0,0,16,0,1,1
0,0,12,0,0,1
0,0,16,0,1,1
0,0,14,0,1,1
0,0,15,0,1,1
0,0,14,1,1,1
1,1,13,0,0,1
0,0,14,0,0,1
0,0,9,0,0,1
0,0,9,1,0,1
0,0,10,0,0,1
0,0,20,0,0,1
0,0,23,0,1,1
0,0,11,0,0,1
0,0,15,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
1,1,12,0,0,1
0,0,16,0,0,1
0,0,13,0,0,1
0,0,13,0,1,1
0,0,9,0,0,1
0,0,13,0,1,1
1,1,16,0,1,1
0,0,19,0,1,1
0,0,13,0,1,1
0,0,10,0,0,1
0,0,14,0,0,1
0,0,12,0,1,1
0,0,10,0,0,1
0,0,14,0,1,1
0,0,13,0,0,1
0,0,13,0,1,1
0,0,14,0,0,1
0,0,13,0,0,1
1,1,11,0,0,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,16,0,0,1
0,0,10,0,0,1
0,0,17,0,1,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,15,0,1,1
0,0,19,0,1,1
0,0,11,0,0,1
0,0,15,0,1,1
0,0,10,0,0,1
0,0,22,0,1,1
0,0,13,0,1,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,13,0,0,1
1,1,13,0,1,1
0,0,12,0,0,1
0,0,13,0,1,1
0,0,11,0,0,1
0,0,15,0,1,1
0,0,10,0,0,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,15,0,1,1
0,0,10,0,0,1
0,0,16,0,1,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,14,0,1,1
0,0,9,0,0,1
0,0,13,0,1,1
0,0,20,0,1,1
0,0,13,0,0,1
0,0,11,0,0,1
0,0,14,0,0,1
0,0,23,0,0,1
0,0,13,0,1,1
0,0,18,0,1,1
0,0,13,0,1,1
0,0,14,0,1,1
0,0,13,0,1,1
0,0,9,0,0,1
0,0,14,0,0,1
0,0,10,0,0,1
0,0,16,0,1,1
0,0,14,0,1,1
0,0,10,0,0,1
0,0,18,0,1,1
0,0,14,0,0,1
0,0,14,0,1,1
0,0,10,0,0,1
0,0,16,1,1,1
0,0,9,0,0,1
0,0,16,0,0,1
0,0,12,1,0,1
0,0,9,0,0,1
0,0,16,0,0,1
0,0,15,0,1,1
0,0,10,0,0,1
0,0,16,0,1,1
0,0,18,0,0,1
0,0,18,0,1,1
0,0,13,0,1,1
0,0,25,0,0,1
0,0,14,0,0,1
0,0,25,0,0,1
0,0,11,0,0,1
0,0,14,0,1,1
0,0,13,0,1,1
0,0,11,1,1,1
1,1,15,0,0,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,16,0,1,1
0,0,13,1,0,1
0,0,16,0,1,1
0,0,9,0,0,1
0,0,13,0,1,1
0,0,16,0,1,1
0,0,12,0,0,1
0,0,13,0,1,1
1,1,20,0,1,1
0,0,11,0,0,1
0,0,18,0,1,1
0,0,17,0,1,1
0,0,10,0,0,1
0,0,13,0,1,1
0,0,20,0,1,1
0,0,12,0,0,1
0,0,16,0,0,1
0,0,12,0,0,1
0,0,12,0,0,1
0,0,15,0,0,1
0,0,18,0,1,1
0,0,16,0,1,1
0,0,14,0,1,1
0,0,9,0,0,1
0,0,9,0,0,1
0,0,22,0,1,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,19,0,1,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,22,0,1,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,13,1,1,1
0,0,21,0,1,1
0,0,19,0,1,1
0,0,10,0,0,1
0,0,10,1,0,1
0,0,22,0,1,1
0,0,12,0,0,1
0,0,16,0,1,1
0,0,16,0,1,1
0,0,10,0,0,1
0,0,10,0,0,1
1,1,16,0,0,1
0,0,16,0,1,1
0,0,16,0,1,1
0,0,12,0,0,1
0,0,23,0,1,1
0,0,17,0,0,1
0,0,13,0,1,1
0,0,21,0,0,1
0,0,10,0,0,1
0,0,14,0,1,1
0,0,15,0,1,1
0,0,10,0,0,1
0,0,14,0,1,1
0,0,13,0,0,1
0,0,12,0,0,1
0,0,13,0,1,1
0,0,13,0,1,1
0,0,8,1,0,1
0,0,17,0,0,1
0,0,16,0,1,1
0,0,9,0,0,1
0,0,23,0,1,1
0,0,15,0,1,1
0,0,14,0,1,1
0,0,16,0,1,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,13,0,0,1
0,0,13,0,0,1
0,0,6,1,0,1
0,0,11,0,0,1
0,0,18,0,1,1
0,0,16,1,1,1
0,0,12,1,0,1
0,0,14,0,1,1
0,0,8,0,0,1
0,0,21,0,0,1
0,0,10,0,0,1
0,0,15,0,1,1
0,0,14,0,1,1
1,1,20,0,1,1
0,0,13,0,1,1
1,1,18,0,1,1
0,0,12,0,0,1
0,0,14,0,0,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,9,0,0,1
0,0,12,0,0,1
0,0,14,0,0,1
0,0,14,0,1,1
0,0,13,0,1,1
0,0,13,0,0,1
1,1,18,0,1,1
0,0,16,0,1,1
0,0,12,0,1,1
0,0,10,0,0,1
0,0,15,0,1,1
0,0,11,1,0,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,10,0,0,1
0,0,9,1,0,1
0,0,18,0,0,1
0,0,9,0,0,1
0,0,9,0,0,1
0,0,14,0,0,1
0,0,15,0,1,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,11,0,0,1
0,0,13,0,1,1
0,0,8,0,0,1
0,0,18,1,0,0
0,0,10,0,0,1
0,0,13,0,1,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,14,0,0,1
0,0,16,0,1,1
0,0,11,0,0,1
1,1,23,0,0,1
0,0,14,0,1,1
0,0,14,0,0,1
0,0,15,0,1,1
0,0,14,0,1,1
0,0,13,0,1,1
0,0,14,0,1,1
0,0,16,0,1,1
0,0,14,0,1,1
0,0,9,0,0,1
0,0,11,0,0,1
0,0,15,1,0,1
0,0,15,0,1,1
0,0,9,0,0,1
0,0,15,0,1,1
0,0,14,0,1,1
0,0,11,1,0,1
0,0,15,0,1,1
0,0,9,0,0,1
0,0,9,0,0,1
0,0,15,0,1,1
0,0,26,0,1,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,23,0,1,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,24,0,0,1
0,0,14,0,1,1
0,0,18,0,1,1
0,0,12,0,0,1
0,0,10,0,0,1
0,0,15,0,1,1
0,0,16,0,1,1
0,0,12,1,0,1
0,0,9,1,0,1
0,0,11,0,0,1
0,0,13,0,1,1
0,0,14,0,1,1
0,0,13,0,1,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,9,0,0,1
0,0,14,0,0,1
0,0,13,0,1,1
0,0,11,0,0,1
0,0,13,0,1,1
0,0,15,0,0,1
0,0,11,0,0,1
0,0,12,0,0,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,16,0,0,1
0,0,8,0,0,1
0,0,14,1,0,1
0,0,20,1,0,1
0,0,18,0,0,1
0,0,9,0,0,1
0,0,15,0,1,1
0,0,14,0,1,1
0,0,10,0,0,1
0,0,16,0,1,1
0,0,11,0,0,1
0,0,12,0,0,1
0,0,14,0,1,1
0,0,13,1,1,1
0,0,16,0,1,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,16,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
1,1,14,0,1,1
0,0,11,1,0,1
0,0,9,0,0,1
0,0,8,0,0,1
0,0,21,0,0,1
0,0,13,0,0,1
1,1,14,0,0,1
0,0,21,0,1,1
0,0,14,0,1,1
0,0,19,0,0,1
0,0,14,0,0,1
0,0,20,0,1,1
0,0,12,0,1,1
0,0,12,0,0,1
0,0,13,0,1,1
0,0,8,1,0,1
0,0,9,1,0,1
0,0,12,0,0,1
0,0,12,0,0,1
0,0,16,0,1,1
0,0,7,1,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,7,1,0,1
0,0,13,1,1,1
0,0,14,0,1,1
0,0,16,0,1,1
0,0,18,0,1,1
0,0,21,0,1,1
0,0,13,0,1,1
0,0,18,0,1,1
0,0,19,1,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,13,0,0,1
0,0,9,0,0,1
0,0,13,0,0,1
1,1,14,0,1,1
0,0,14,0,1,1
0,0,12,0,0,1
0,0,14,0,1,1
0,0,10,0,0,1
0,0,14,0,0,1
0,0,15,0,1,1
0,0,15,0,0,1
0,0,14,0,0,1
0,0,17,0,1,1
0,0,18,0,1,1
0,0,16,0,1,1
0,0,13,0,1,1
0,0,15,0,1,1
0,0,21,0,1,1
0,0,18,0,1,1
0,0,14,0,1,1
0,0,16,0,1,1
0,0,13,0,0,1
0,0,18,0,1,1
0,0,9,0,0,1
0,0,13,1,0,1
0,0,18,0,1,1
0,0,16,0,0,1
0,0,13,0,0,1
0,0,10,0,0,1
0,0,7,1,0,1
0,0,9,0,0,1
0,0,9,0,0,1
0,0,14,0,0,1
0,0,14,0,0,1
0,0,15,0,0,1
0,0,14,0,1,1
0,0,17,1,1,1
0,0,14,0,1,1
0,0,13,0,0,1
0,0,15,0,0,1
0,0,10,0,0,1
0,0,16,0,1,1
0,0,17,0,1,1
0,0,11,0,0,1
1,1,28,0,1,1
0,0,10,0,0,1
0,0,14,0,1,1
0,0,13,1,1,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,17,0,1,1
0,0,11,0,0,1
0,0,11,0,0,1
0,0,11,0,0,1
0,0,8,0,0,1
0,0,14,0,0,1
0,0,12,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,13,1,0,1
0,0,8,0,0,1
0,0,8,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,13,0,0,1
0,0,16,0,0,1
0,0,12,0,0,1
0,0,16,0,1,1
0,0,18,0,1,1
0,0,13,0,1,1
1,1,14,0,1,1
0,0,13,0,1,1
0,0,24,0,1,1
0,0,20,0,1,1
0,0,10,0,0,1
0,0,14,0,0,1
0,0,13,0,0,1
0,0,14,0,0,1
0,0,13,0,0,1
0,0,9,0,0,1
0,0,13,0,0,1
0,0,10,0,0,1
0,0,12,0,0,1
0,0,17,0,0,1
0,0,16,1,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,14,0,0,1
0,0,12,0,0,1
0,0,16,1,1,1
1,1,9,0,0,1
0,0,20,0,1,1
0,0,10,0,0,1
0,0,18,0,1,1
0,0,13,0,1,1
0,0,21,0,1,1
0,0,11,0,0,1
0,0,17,0,1,1
1,1,16,0,1,1
0,0,10,0,0,1
0,0,14,0,1,1
0,0,16,0,1,1
0,0,16,0,0,1
0,0,13,0,0,1
1,1,19,0,1,1
0,0,17,0,1,1
0,0,15,0,1,1
0,0,14,0,1,1
0,0,11,0,0,1
0,0,11,0,0,1
0,0,12,0,0,1
0,0,10,0,0,1
0,0,15,0,1,1
0,0,11,0,0,1
0,0,16,0,1,1
0,0,9,0,0,1
0,0,14,0,0,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,12,0,0,1
1,1,13,0,0,1
0,0,10,0,0,1
0,0,11,1,0,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,13,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,10,1,0,1
0,0,9,1,0,1
0,0,14,0,1,1
0,0,12,0,0,1
0,0,13,0,1,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,16,0,1,1
0,0,9,0,0,1
0,0,21,0,1,1
0,0,13,0,1,1
0,0,28,0,1,1
0,0,10,0,0,1
0,0,8,1,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,13,0,0,1
0,0,12,0,0,1
0,0,13,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,22,1,0,1
0,0,13,0,0,1
0,0,15,0,0,1
0,0,15,0,0,1
0,0,10,0,0,1
0,0,8,0,0,1
0,0,14,0,0,1
0,0,9,1,0,1
0,0,12,0,0,1
0,0,16,0,0,1
0,0,8,0,0,1
0,0,12,0,0,1
0,0,15,0,0,1
0,0,10,0,0,1
0,0,18,0,1,1
0,0,15,0,1,1
0,0,14,0,1,1
0,0,15,0,1,1
0,0,12,0,0,1
0,0,13,0,1,1
0,0,12,0,0,1
0,0,15,1,1,1
0,0,10,0,0,1
0,0,17,0,1,1
1,1,18,0,1,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,12,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,14,1,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,12,0,0,1
0,0,12,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,14,0,0,1
0,0,9,1,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,19,0,0,1
0,0,9,0,0,1
0,0,14,0,0,1
0,0,12,0,0,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,9,0,0,1
0,0,12,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,12,0,0,1
0,0,11,0,0,1
0,0,13,0,0,1
0,0,8,1,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,11,0,0,1
0,0,26,0,0,1
0,0,11,0,0,1
0,0,12,0,0,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
1,1,8,1,0,1
0,0,12,0,0,1
0,0,14,0,0,1
0,0,13,0,0,1
0,0,13,0,0,1
0,0,20,0,0,1
0,0,12,0,0,1
0,0,14,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,18,0,1,1
1,1,11,0,0,1
0,0,13,0,1,1
1,1,15,0,0,1
0,0,16,0,0,1
1,1,17,0,1,1
0,0,16,0,1,1
0,0,11,0,0,1
0,0,15,0,0,1
0,0,19,0,1,1
0,0,11,0,0,1
0,0,18,0,1,1
0,0,12,0,0,1
0,0,12,0,0,1
0,0,13,0,0,1
0,0,9,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,13,0,0,1
1,1,15,0,0,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,14,0,0,1
0,0,12,0,0,1
0,0,11,0,0,1
0,0,16,0,1,1
0,0,11,1,1,1
0,0,15,0,1,1
0,0,13,0,0,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,15,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,11,1,0,1
0,0,13,0,1,1
0,0,9,0,0,1
0,0,9,0,0,1
0,0,11,0,0,1
0,0,13,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,15,0,1,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,19,0,1,1
0,0,15,0,1,1
1,1,13,0,1,1
0,0,11,0,0,1
0,0,15,0,0,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,14,0,1,1
0,0,13,1,0,1
0,0,18,0,1,1
0,0,14,0,0,1
0,0,11,0,0,1
0,0,14,0,0,1
0,0,21,0,1,1
0,0,14,0,0,1
0,0,15,0,0,1
0,0,12,0,0,1
0,0,17,0,0,1
0,0,14,0,1,1
0,0,12,0,1,1
0,0,20,0,1,1
0,0,12,0,0,1
0,0,13,0,0,1
0,0,9,0,0,1
0,0,14,0,1,1
0,0,9,0,0,1
0,0,9,0,0,1
0,0,20,0,1,1
0,0,10,0,0,1
0,0,17,0,1,1
0,0,13,0,1,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,15,0,1,1
0,0,10,0,0,1
0,0,16,0,0,1
0,0,16,0,1,1
1,1,19,0,1,1
0,0,11,0,0,1
0,0,15,0,1,1
0,0,14,0,1,1
0,0,13,0,1,1
0,0,14,0,1,1
0,0,11,0,0,1
0,0,8,1,0,1
0,0,10,0,0,1
0,0,9,1,0,1
0,0,9,1,0,1
0,0,14,0,0,1
0,0,18,0,0,1
1,1,12,0,0,1
0,0,14,0,1,1
0,0,12,0,0,1
0,0,9,0,0,1
0,0,21,0,0,1
0,0,17,0,0,1
0,0,15,0,1,1
0,0,10,0,0,1
0,0,14,0,1,1
0,0,15,0,1,1
1,1,13,0,0,1
0,0,12,0,0,1
0,0,13,0,1,1
0,0,13,1,0,1
0,0,10,0,0,1
0,0,16,0,1,1
0,0,13,0,0,1
0,0,23,0,1,1
0,0,16,0,1,1
0,0,10,0,0,1
1,1,15,0,1,1
1,1,15,0,1,1
0,0,13,0,1,1
0,0,13,0,1,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,23,0,1,1
0,0,10,0,0,1
0,0,29,1,1,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,20,1,1,1
0,0,20,0,1,1
0,0,13,0,0,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,10,1,0,1
0,0,11,0,0,1
0,0,12,0,0,1
0,0,9,0,0,1
0,0,14,0,0,1
0,0,12,1,0,1
0,0,11,0,0,1
0,0,16,0,1,1
0,0,17,0,1,1
0,0,9,0,0,1
0,0,12,0,0,1
0,0,14,0,1,1
0,0,13,0,0,1
0,0,25,0,1,1
1,1,13,0,0,1
0,0,15,0,1,1
0,0,20,0,1,1
0,0,12,0,0,1
1,1,13,0,0,1
0,0,13,1,0,0
0,0,14,0,0,1
0,0,12,0,0,1
0,0,15,0,1,1
0,0,16,0,1,1
0,0,9,1,0,1
0,0,13,0,0,1
0,0,13,0,0,1
0,0,17,0,0,1
0,0,14,0,1,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,15,1,1,1
0,0,9,0,0,1
0,0,13,0,0,1
0,0,14,0,1,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,13,0,1,1
0,0,17,0,1,1
0,0,19,0,1,1
0,0,10,0,0,1
0,0,16,0,0,1
0,0,27,0,1,1
0,0,14,0,1,1
0,0,13,1,1,1
0,0,14,0,1,1
0,0,11,0,0,1
0,0,10,1,0,1
0,0,11,0,0,1
0,0,16,0,1,1
0,0,11,0,0,1
0,0,12,0,0,1
0,0,17,0,1,1
0,0,18,0,1,1
0,0,10,0,0,1
0,0,13,0,1,1
0,0,16,0,1,1
0,0,12,0,1,1
0,0,15,0,1,1
0,0,11,0,0,1
0,0,19,0,1,1
0,0,13,0,0,1
0,0,14,0,0,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,13,0,0,1
0,0,24,1,0,1
0,0,8,1,0,1
0,0,9,0,0,1
0,0,15,1,1,1
0,0,16,0,1,1
0,0,14,0,1,1
0,0,11,0,0,1
0,0,14,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,13,1,0,1
0,0,9,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,9,1,0,1
0,0,16,1,0,1
0,0,11,0,0,1
0,0,14,0,0,1
0,0,14,0,0,1
0,0,12,0,0,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,11,0,0,1
1,1,16,0,1,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,18,0,0,1
0,0,10,0,0,1
0,0,12,0,0,1
0,0,13,0,0,1
0,0,15,0,1,1
0,0,20,1,1,1
0,0,9,0,0,1
0,0,14,0,1,1
0,0,12,0,0,1
0,0,9,0,0,1
0,0,13,0,1,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,13,1,0,1
0,0,9,0,0,1
0,0,17,0,1,1
0,0,9,0,0,1
0,0,16,0,1,1
0,0,18,0,1,1
0,0,14,1,1,1
0,0,11,0,0,1
0,0,13,0,0,1
0,0,14,0,1,1
0,0,14,1,0,1
0,0,17,1,0,1
0,0,12,0,1,1
0,0,9,0,0,1
0,0,14,0,0,1
0,0,17,0,1,1
0,0,10,1,0,1
0,0,10,0,0,1
0,0,15,0,0,1
0,0,11,0,0,1
0,0,14,1,1,1
0,0,10,1,0,1
0,0,10,0,0,1
0,0,9,0,0,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,11,0,0,1
0,0,24,0,0,1
0,0,13,0,0,1
0,0,11,1,0,1
0,0,11,0,0,1
0,0,15,0,0,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,14,0,1,1
0,0,14,0,1,1
0,0,15,1,1,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,15,1,1,1
0,0,10,1,0,1
0,0,13,0,1,1
0,0,14,0,1,1
0,0,11,0,0,1
0,0,13,0,0,1
0,0,14,1,0,1
0,0,9,0,0,1
0,0,13,0,0,1
0,0,16,0,1,1
0,0,14,0,1,1
0,0,12,0,0,1
0,0,13,0,0,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,9,0,0,1
0,0,13,0,1,1
0,0,12,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,10,0,0,1
0,0,8,1,0,1
0,0,11,0,0,1
0,0,15,0,1,1
0,0,23,0,1,1
0,0,21,0,1,1
0,0,13,0,1,1
0,0,15,1,1,1
0,0,13,0,1,1
0,0,13,1,1,1
0,0,18,0,1,1
0,0,12,0,1,1
0,0,13,0,1,1
0,0,15,0,0,1
0,0,15,0,0,1
0,0,10,0,0,1
0,0,17,0,1,1
0,0,11,0,0,1
0,0,15,0,1,1
0,0,14,0,1,1
0,0,9,0,0,1
0,0,13,0,1,1
0,0,14,0,0,1
0,0,15,0,0,1
0,0,10,0,0,1
0,0,17,0,1,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,20,0,1,1
0,0,14,0,1,1
0,0,16,0,1,1
0,0,12,0,0,1
0,0,16,0,1,1
0,0,14,0,1,1
0,0,10,0,0,1
0,0,14,0,1,1
0,0,15,0,1,1
0,0,10,0,0,1
0,0,10,0,0,1
1,1,17,0,1,1
0,0,16,0,1,1
0,0,15,0,0,1
0,0,16,0,0,1
0,0,14,0,0,1
0,0,12,0,0,1
0,0,10,0,0,1
0,0,14,0,0,1
0,0,9,0,0,1
0,0,14,0,0,1
0,0,19,0,0,1
0,0,14,0,1,1
0,0,15,1,1,1
0,0,11,0,0,1
0,0,12,0,0,1
0,0,14,1,1,1
0,0,21,0,1,1
0,0,14,0,0,1
1,1,15,0,0,1
0,0,9,0,0,1
1,1,17,0,1,1
0,0,12,0,0,1
0,0,13,0,0,1
0,0,7,0,0,1
0,0,15,0,1,1
0,0,12,0,0,1
0,0,13,0,0,1
0,0,11,0,0,1
0,0,16,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
1,1,17,0,0,1
0,0,10,0,0,1
0,0,8,0,0,1
0,0,17,0,1,1
0,0,17,0,1,1
0,0,11,0,0,1
0,0,13,0,1,1
0,0,19,0,1,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,11,0,0,1
0,0,26,0,1,1
1,1,10,0,0,1
0,0,12,0,1,1
0,0,10,0,0,1
0,0,22,0,1,1
0,0,16,0,0,1
0,0,14,0,1,1
0,0,9,0,0,1
0,0,13,0,0,1
0,0,12,0,0,1
0,0,23,0,1,1
0,0,14,0,0,1
0,0,17,0,1,1
0,0,40,0,1,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,17,0,0,1
0,0,14,0,0,1
0,0,10,0,0,1
0,0,16,0,1,1
1,1,13,0,0,1
0,0,11,0,0,1
0,0,13,0,1,1
0,0,11,0,0,1
0,0,12,0,0,1
0,0,13,0,1,1
0,0,12,0,0,1
0,0,16,0,1,1
0,0,14,0,0,1
0,0,12,0,0,1
0,0,10,0,0,1
0,0,12,0,0,1
0,0,11,0,0,1
0,0,11,0,0,1
0,0,10,0,0,1
0,0,15,1,0,1
0,0,12,1,1,1
0,0,11,0,0,1
0,0,13,0,0,1
0,0,11,0,0,1
0,0,14,0,0,1
0,0,12,0,0,1
1,1,25,0,1,1
0,0,13,0,0,1
0,0,20,0,0,1
0,0,20,0,0,1
0,0,10,0,0,1
0,0,16,0,1,1
1,1,18,0,1,1
0,0,10,1,0,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,15,0,0,1
0,0,12,0,0,1
0,0,15,0,0,1
0,0,13,1,1,1
0,0,11,0,0,1
0,0,12,0,0,1
0,0,9,0,0,1
0,0,9,0,0,1
0,0,10,0,0,1
0,0,10,0,0,1
1,1,17,0,1,1
0,0,11,0,0,1
0,0,16,0,0,1
0,0,11,0,0,1
0,0,12,1,0,1
0,0,11,0,0,1
0,0,11,1,0,1
0,0,17,0,1,1
0,0,8,0,0,1
0,0,13,0,1,1
0,0,9,0,0,1
0,0,11,0,0,1
0,0,15,0,0,1
0,0,11,0,0,1
0,0,8,1,0,1
0,0,12,0,0,1
0,0,12,0,0,1
0,0,9,0,0,1
0,0,15,0,1,1
1,1,16,0,1,1
0,0,12,1,1,1
0,0,23,0,1,1
0,0,10,0,0,1
0,0,14,0,1,1
0,0,9,1,0,1
0,0,16,0,1,1
0,0,13,0,0,1
0,0,14,0,1,1
0,0,21,0,1,1
0,0,13,0,0,1
0,0,14,0,1,1
0,0,16,0,1,1
0,0,16,0,1,1
0,0,23,0,1,1
0,0,16,0,1,1
0,0,12,1,1,1
0,0,12,1,1,1
0,0,10,0,0,1
0,0,20,0,1,1
0,0,18,0,1,1
0,0,9,1,0,1
0,0,16,1,0,1
0,0,18,0,1,1
0,0,10,0,0,1
0,0,11,1,0,1
0,0,17,0,1,1
0,0,11,0,0,1
0,0,14,0,0,1
0,0,14,0,1,1
0,0,10,0,0,1
0,0,10,0,0,1
0,0,12,1,0,1
0,0,17,0,0,1
0,0,13,0,0,1
0,0,11,0,0,1
0,0,9,0,0,1
0,0,13,0,0,1
0,0,12,0,0,1
0,0,10,1,0,1
0,0,11,1,0,1
0,0,13,0,0,1
0,0,12,0,0,1
0,0,10,0,0,1
0,0,13,0,0,1
0,0,13,0,0,1
0,0,9,0,0,1
0,0,9,0,0,1
0,0,19,0,1,1
0,0,13,0,1,1
0,0,21,0,1,1
0,0,10,0,0,1
0,0,11,1,0,1
0,0,10,0,0,1
0,0,10,0,0,1
